navn	nodhavnnummer	kategori	lenke_faktaark	forvaltningsstatus	iua	fylke	kommune	informasjon	geom_wkt
Kokkenes                                                                                            	1092601	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Kokkenes.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Midt-Agder                                        	Agder                                             	Lillesand                                         	Sjøkart: 9                                                                                          	POINT(8.383333506880355 58.24666707055249)
Bufjorden                                                                                           	1090402	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Bufjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Grimstad                                          	Sjøkart: 8                                                                                          	POINT(8.549999488208313 58.29500252529884)
Vikkilen                                                                                            	1090403	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Vikkilen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Grimstad                                          	Sjøkart: 8                                                                                          	POINT(8.612000541820798 58.360833766736974)
Vest av Stølene/øst av Buøya                                                                        	1090602	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Vest av Stoelene - Oest av Buoeya.pdf' target='_blank' >FAKTAARK HER<a>                                                                     	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Arendal                                           	Sjøkart: 7                                                                                          	POINT(8.901666273378256 58.5071674327663)
Pasvikhavn                                                                                          	1	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Pasvikhavnx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Sør-Varanger                                      		POINT(30.566666494055777 69.81666667222936)
Lanabukt                                                                                            	2	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Lanabuktx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Sør-Varanger                                      		POINT(30.45693068546218 69.74277624283378)
Karpbukt                                                                                            	3	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Karpbuktx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Sør-Varanger                                      		POINT(30.378333170886965 69.67166667202305)
Eydehavn - Ny-kaien                                                                                 	1090603	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Eydehavn-ny kaien.pdf' target='_blank' >FAKTAARK HER<a>                                                                                     	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Arendal                                           	Sjøkart: 7                                                                                          	POINT(8.87706222317053 58.49546007223594)
Sandvigodden                                                                                        	1090604	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Sandvigodden NATO-kai.pdf' target='_blank' >FAKTAARK HER<a>                                                                                 	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Arendal                                           	Sjøkart: 7                                                                                          	POINT(8.78083307660556 58.433833247389884)
Grisvågøy                                                                                           	3156901	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3156901_Grisvaagoey.pdf' target='_blank' >FAKTAARK HER<a>                                                                            	Vedtatt                                                                                             	Nordmøre                                          	Møre og Romsdal                                   	Aure                                              		POINT(8.416666671371951 63.34166670025016)
Revsneshavn                                                                                         	39	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Revsneshavnx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hammerfest                                        		POINT(24.35666666325285 70.68833333340763)
Repparfjord                                                                                         	40	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Repparfjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hammerfest                                        		POINT(24.221666663477524 70.49333333340383)
Agnefest                                                                                            	1103201	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Agnefest.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Lyngdal                                           	Sjøkart: 11                                                                                         	POINT(7.051661785546686 58.116680633135104)
Morvikkilen                                                                                         	1090401	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Morvikkilen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Grimstad                                          	Sjøkart: 8                                                                                          	POINT(8.549995766302962 58.306667442705695)
Breivigen                                                                                           	1090601	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Breivigen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Arendal                                           	Sjøkart: 7                                                                                          	POINT(8.936666962963344 58.52100038105153)
Kværnkilen                                                                                          	1090101	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Kvaernkilen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Risør                                             	Sjøkart: 7                                                                                          	POINT(9.163612946097851 58.664437761836574)
Vardnes                                                                                             	1100401	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Vardnes.pdf' target='_blank' >FAKTAARK HER<a>                                                                                               	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Flekkefjord                                       	Sjøkart: 12                                                                                         	POINT(6.635669197785986 58.23616650345838)
Dvergsøy                                                                                            	1100101	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Dvergsoey.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Midt-Agder                                        	Agder                                             	Kristiansand                                      	Sjøkart: 9, 459                                                                                     	POINT(8.068999686106679 58.111667494071206)
Stølefjorden                                                                                        	1081503	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Stoelefjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Telemark                                          	Vestfold og Telemark                              	Kragerø                                           	Sjøkart: 6                                                                                          	POINT(9.402500005610301 58.81333330008946)
Krana                                                                                               	1090103	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Krana.pdf' target='_blank' >FAKTAARK HER<a>                                                                                                 	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Risør                                             	Sjøkart: 6                                                                                          	POINT(9.228377935389142 58.727752574849944)
Rævesand/Merdøflaket                                                                                	1090606	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Revesand-Merdoeflaket.pdf' target='_blank' >FAKTAARK HER<a>                                                                                 	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Arendal                                           	Sjøkart: 7                                                                                          	POINT(8.804333859367617 58.43333338729719)
Høllefjorden                                                                                        	1101802	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Hoellefjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Midt-Agder                                        	Agder                                             	Kristiansand                                      	Sjøkart: 9, 10                                                                                      	POINT(7.816667119653356 58.05833319633906)
Flekkefjord havn/Eschebrygga                                                                        	1100403	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Flekkefjord havn, Eschebrygga.pdf' target='_blank' >FAKTAARK HER<a>                                                                         	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Flekkefjord                                       	Sjøkart: 12, 478                                                                                    	POINT(6.653333462434814 58.2950000037367)
Risholmflaket                                                                                       	1100404	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Risholmflaket.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Flekkefjord                                       	Sjøkart: 12, 478                                                                                    	POINT(6.655002696379724 58.23499891610105)
Flekkefjordsfjorden/Gangstøbukta                                                                    	1100405	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Flekkefjords-fjorden, Gangstoebukta, Simek vestkai.pdf' target='_blank' >FAKTAARK HER<a>                                                    	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Flekkefjord                                       	Sjøkart: 12, 478                                                                                    	POINT(6.655000162088006 58.28166670373112)
Nordfjorden/Kjødvika                                                                                	1090102	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Nordfjorden - Kjoedvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                               	Vedtatt                                                                                             	Aust-Agder                                        	Agder                                             	Risør                                             	Sjøkart: 6                                                                                          	POINT(9.206474893135809 58.746621080322775)
Kvalvika                                                                                            	6	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Kvalvikax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Lyngen                                            		POINT(20.2333333332681 69.50333333333434)
Nord Tverfjorden                                                                                    	60	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Nord_Tverfjordenx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                   	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Loppa                                             		POINT(21.84833333293606 70.21500000000722)
Frakkfjorden                                                                                        	61	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Frakkfjordenx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                       	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Loppa                                             		POINT(21.476666666399446 70.21000000000465)
Olderfjorden                                                                                        	1	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Olderfjordenx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Kvænangen                                         		POINT(21.45333333307103 70.16500000000455)
Båly/Njervefjorden - Ankring                                                                        	1102901	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Baaly-Njervefjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                   	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Lindesnes                                         	Sjøkart: 10                                                                                         	POINT(7.162497966538451 58.03783391984022)
Kongsgård RoRo kai 36                                                                               	1100104	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Kongsgaard RoRo-kai 36.pdf' target='_blank' >FAKTAARK HER<a>                                                                                	Vedtatt                                                                                             	Midt-Agder                                        	Agder                                             	Kristiansand                                      	Sjøkart: 9, 459                                                                                     	POINT(8.03666732244448 58.15733485797973)
Sodeviga                                                                                            	1100203	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Sodeviga.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Lindesnes                                         	Sjøkart: 10                                                                                         	POINT(7.499499606582969 58.00816637770186)
Mannefjorden                                                                                        	1100202	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Mannefjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Lindesnes                                         	Sjøkart: 10, 457                                                                                    	POINT(7.452666212801938 58.00683367081762)
Kåfjorden                                                                                           	1102902	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Kaafjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Lindesnes                                         	Sjøkart: 10                                                                                         	POINT(7.32332788480675 58.03666712214695)
Olavik                                                                                              	233	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge233.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Askøy                                             	Sjøkart: 23 og 119, Havnedistrikt: Bergen                                                           	POINT(5.230177201550871 60.453158140677424)
Fosen - Kvernavika                                                                                  	234	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge234.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Rogaland                                          	Karmøy                                            	Sjøkart: 17, Havnedistrikt: Karmsund                                                                	POINT(5.377870435510728 59.30265240912361)
Kollsnes Øst                                                                                        	232	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge232.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Øygarden                                          	Sjøkart: 23, Havnedistrikt: Bergen                                                                  	POINT(4.885231828820064 60.55062391140298)
Bastøybukta                                                                                         	1070101	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Bastoeybukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Vestfold                                          	Vestfold og Telemark                              	Horten                                            	Sjøkart: 3, 468                                                                                     	POINT(10.53028837578767 59.39335761337435)
Omastrand                                                                                           	174	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge174.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Kvam                                              	Sjøkart: 117, Havnedistrikt: -                                                                      	POINT(5.986206210131097 60.2125837579407)
Norheimsund                                                                                         	175	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge175.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Kvam                                              	Sjøkart: 117, Havnedistrikt: -                                                                      	POINT(6.195669375360415 60.36259058354728)
Ålvik                                                                                               	177	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge177.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Kvam                                              	Sjøkart: 117, Havnedistrikt: -                                                                      	POINT(6.416682671179613 60.42700582984984)
Ulvesundet                                                                                          	231	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge231.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Nordfjord                                         	Vestland                                          	Kinn                                              	Sjøkart: , Havnedistrikt: Nordfjord                                                                 	POINT(5.142810804156543 61.97696320498413)
Austefjorden                                                                                        	229	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge229.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Øygarden                                          	Sjøkart: 21, Havnedistrikt: Bergen og Omland                                                        	POINT(5.075413445253402 60.188997868834754)
Høylandsbygd                                                                                        	172	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge172.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Vestland                                          	Kvinnherad                                        	Sjøkart: 20, Havnedistrikt: -                                                                       	POINT(5.782363700833098 59.79817559057696)
Eldøyane                                                                                            	169	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge169.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Vestland                                          	Stord                                             	Sjøkart: 19, Havnedistrikt: Stord                                                                   	POINT(5.497916792461616 59.758112634231175)
Kinsarvik                                                                                           	178	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge178.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Vestland                                          	Ullensvang                                        	Sjøkart: 118, Havnedistrikt: -                                                                      	POINT(6.713908912357692 60.38045301707133)
Nordnes                                                                                             	179	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge179.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Vestland                                          	Ullensvang                                        	Sjøkart: 118, Havnedistrikt: -                                                                      	POINT(6.569854167883404 60.205357064986885)
Fanafjorden                                                                                         	185	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge185.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Bergen                                            	Sjøkart: 21, Havnedistrikt: Bergen og Omland                                                        	POINT(5.274781888375333 60.2333315028691)
Hanøytangen                                                                                         	187	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge187.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Askøy                                             	Sjøkart: 23, Havnedistrikt: Bergen og Omland                                                        	POINT(5.105378012321009 60.43485758572617)
Odda                                                                                                	181	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge181.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Vestland                                          	Ullensvang                                        	Sjøkart: 118, Havnedistrikt: Odda                                                                   	POINT(6.540483042468027 60.07777452326953)
Bøfjorden                                                                                           	198	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge198.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Hyllestad                                         	Sjøkart: 251, Havnedistrikt: -                                                                      	POINT(5.3312992163066 61.12257355525439)
Høyanger                                                                                            	201	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge201.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sogn og Sunnfjord                                 	Vestland                                          	Høyanger                                          	Sjøkart: 251, Havnedistrikt: -                                                                      	POINT(6.067164256876833 61.215280263335735)
Vetlefjorden                                                                                        	203	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge203.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sogn og Sunnfjord                                 	Vestland                                          	Sogndal                                           	Sjøkart: 252, Havnedistrikt: -                                                                      	POINT(6.559409897519724 61.2896115157282)
Kaupanger                                                                                           	204	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge204.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sogn og Sunnfjord                                 	Vestland                                          	Sogndal                                           	Sjøkart: 252, Havnedistrikt: -                                                                      	POINT(7.250741997569783 61.17874372363599)
Lærdal                                                                                              	205	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge205.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sogn og Sunnfjord                                 	Vestland                                          	Lærdal                                            	Sjøkart: 252, Havnedistrikt: -                                                                      	POINT(7.44498048179682 61.108579872630614)
Nybø                                                                                                	209	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge209.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sogn og Sunnfjord                                 	Vestland                                          	Askvoll                                           	Sjøkart: 25, Havnedistrikt: -                                                                       	POINT(4.742059065055092 61.30333930329047)
Gjelsvika                                                                                           	212	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge212.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sogn og Sunnfjord                                 	Vestland                                          	Askvoll                                           	Sjøkart: 27, Havnedistrikt: -                                                                       	POINT(5.335182352727407 61.4657799661253)
Botnaneset                                                                                          	214	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge214.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sogn og Sunnfjord                                 	Vestland                                          	Kinn                                              	Sjøkart: 27 og 479, Havnedistrikt: Flora                                                            	POINT(5.077566414905815 61.614748574699874)
Sørgulen                                                                                            	219	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge219.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Nordfjord                                         	Vestland                                          	Bremanger                                         	Sjøkart: 28, Havnedistrikt: Bremanger                                                               	POINT(5.113446195686006 61.71406333636445)
Husefest                                                                                            	216	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge216.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Nordfjord                                         	Vestland                                          	Bremanger                                         	Sjøkart: 28, Havnedistrikt: Bremanger                                                               	POINT(4.975318984478204 61.701627254435124)
Allmenningen                                                                                        	221	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge221.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Nordfjord                                         	Vestland                                          	Kinn                                              	Sjøkart: 29, Havnedistrikt: Nordfjord                                                               	POINT(5.229375127457331 61.90696585165521)
Davika                                                                                              	224	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge224.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Nordfjord                                         	Vestland                                          	Bremanger                                         	Sjøkart: 253, Havnedistrikt: Bremanger                                                              	POINT(5.554928841616098 61.893446560116715)
Vilnesfjorden                                                                                       	208	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge208.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sogn og Sunnfjord                                 	Vestland                                          	Askvoll                                           	Sjøkart: 25, Havnedistrikt: -                                                                       	POINT(4.983686775282942 61.30190643840194)
Borgundvåg                                                                                          	228	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge228.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Nordfjord                                         	Vestland                                          	Stad                                              	Sjøkart: 29, Havnedistrikt: Nordfjord                                                               	POINT(5.314532199542986 62.14844201368051)
