navn	nodhavnnummer	kategori	lenke_faktaark	forvaltningsstatus	iua	fylke	kommune	informasjon	geom_wkt
Vest av Håøya                                                                                       	1072002	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Vest av Haaoeya (Bogen).pdf' target='_blank' >FAKTAARK HER<a>                                                                               	Vedtatt                                                                                             	Vestfold                                          	Vestfold og Telemark                              	Sandefjord                                        	Sjøkart: 2, 3                                                                                       	POINT(10.339601848763804 59.1829857013356)
Kjøbmannsskjær/Vrengensundet                                                                        	1072202	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Kjoebmannsskjaer - Vrengensundet.pdf' target='_blank' >FAKTAARK HER<a>                                                                      	Vedtatt                                                                                             	Vestfold                                          	Vestfold og Telemark                              	Færder                                            	Sjøkart: 2, 3                                                                                       	POINT(10.388726736382699 59.174029181883405)
Gismerøya                                                                                           	1100201	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Gismeroeya.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Lindesnes                                         	Sjøkart: 10, 457                                                                                    	POINT(7.482170597062502 58.01766817050789)
Valløbukta                                                                                          	1070401	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Valloebukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Vestfold                                          	Vestfold og Telemark                              	Tønsberg                                          	Sjøkart: 3, 468                                                                                     	POINT(10.487500000981987 59.25666670001266)
Fedabukten                                                                                          	1103703	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Fedabukten.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Kvinesdal                                         	Sjøkart: 12                                                                                         	POINT(6.824994826758571 58.25583156441011)
Hvitstenbukta                                                                                       	1021101	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Hvitstenbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Indre Oslofjord                                   	Viken                                             	Vestby                                            	Sjøkart: 4, 402                                                                                     	POINT(10.650984193964856 59.59590457653422)
Nord av nordre Vassøy lykt                                                                          	1101801	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Nord av Nordre Vassoey lykt.pdf' target='_blank' >FAKTAARK HER<a>                                                                           	Vedtatt                                                                                             	Midt-Agder                                        	Agder                                             	Kristiansand                                      	Sjøkart: 10                                                                                         	POINT(7.699983871778668 58.03550405809527)
Grisebukta ved Fagerstrand                                                                          	1021501	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Grisebukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Indre Oslofjord                                   	Viken                                             	Frogn                                             	Sjøkart: 4 og 402                                                                                   	POINT(10.588809412109455 59.72932117366962)
Innerhamna                                                                                          	4	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Innerhamnax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Sør-Varanger                                      		POINT(30.244999853365986 69.84000000466813)
Skipstadsand/Kjerringholmen                                                                         	1011105	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Skipstadsand - Kjerringholmen.pdf' target='_blank' >FAKTAARK HER<a>                                                                         	Vedtatt                                                                                             	Østfold                                           	Viken                                             	Hvaler                                            	Sjøkart: 1                                                                                          	POINT(10.973667807600647 59.06616810038395)
Ringdalsfjorden                                                                                     	1010103	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Ringdalsfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                       	Vedtatt                                                                                             	Østfold                                           	Viken                                             	Halden                                            	Sjøkart: 1                                                                                          	POINT(11.312833333342533 59.11133333333365)
Duken                                                                                               	1011103	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Duken.pdf' target='_blank' >FAKTAARK HER<a>                                                                                                 	Vedtatt                                                                                             	Østfold                                           	Viken                                             	Hvaler                                            	Sjøkart: 1                                                                                          	POINT(10.98416666668359 59.02033333333396)
Frebergsvik                                                                                         	1071601	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Frebergsvik.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Vestfold                                          	Vestfold og Telemark                              	Holmestrand                                       	Sjøkart: 3                                                                                          	POINT(10.381491634858204 59.451082060202005)
Sydvest av Nakkholmen                                                                               	1030102	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Sydvest av Nakkholmen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                 	Vedtatt                                                                                             	Indre Oslofjord                                   	Oslo                                              	Oslo                                              	Sjøkart: 4, 401, 452                                                                                	POINT(10.682666666696173 59.87983333333436)
Lera nord                                                                                           	1010603	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Lera nord.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Østfold                                           	Viken                                             	Fredrikstad                                       	Sjøkart: 1                                                                                          	POINT(10.865000000021038 59.152833333334115)
Lera syd                                                                                            	1010604	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Lera syd.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Østfold                                           	Viken                                             	Fredrikstad                                       	Sjøkart: 1                                                                                          	POINT(10.852166666688168 59.14366666666747)
Abelnes                                                                                             	1100407	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Abelnes.pdf' target='_blank' >FAKTAARK HER<a>                                                                                               	Vedtatt                                                                                             	Vest-Agder                                        	Agder                                             	Flekkefjord                                       	Sjøkart: 12, 478                                                                                    	POINT(6.657000003668006 58.23916666694679)
Solbergsbukta                                                                                       	1071101	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Solbergbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Buskerud                                          	Viken                                             	Drammen                                           	Sjøkart: 4                                                                                          	POINT(10.412574741599762 59.579641559715036)
